id;first_name;last_name;email;phone_number;sex
1;Valentine;Kshlerin;Jeramy44@yahoo.com;methodical;MAN
2;Nia;West;Osvaldo9@hotmail.com;Cambridgeshire Tasty Rubber Car mindshare;WOMAN
3;Noemy;Smith;Samson.Bradtke42@yahoo.com;Centralized revolutionize International;MAN
4;Darrel;Yost;Garnet_Stracke@yahoo.com;User-centric Principal Pennsylvania;WOMAN
5;Gayle;Lynch;Henry.Franecki11@hotmail.com;Bedfordshire Tools;WOMAN
6;Bill;Senger;Natalie_Rodriguez23@yahoo.com;seize Glen Refined;MAN
7;Wilburn;Wisozk;Alphonso.Hammes52@yahoo.com;Agent Gorgeous Rubber Chicken Associate;MAN
8;Jacinto;Zieme;Maverick_McCullough@yahoo.com;Unbranded Plastic Chips Brand Regional;MAN
9;Cindy;Oberbrunner;Gilbert58@yahoo.com;Fantastic;MAN
10;Else;Jast;Leatha16@hotmail.com;Senior;WOMAN
